자치구별,각세별,성별,항목,단위,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,2024 년
합계,51세,합계,주민등록인구(내국인 각세별/구별),,155294,164022,165625,164432,167241,157344,152374
합계,51세,남자,주민등록인구(내국인 각세별/구별),,74747,80531,81907,81306,83211,78189,74114
합계,51세,여자,주민등록인구(내국인 각세별/구별),,80547,83491,83718,83126,84030,79155,78260
합계,52세,합계,주민등록인구(내국인 각세별/구별),,142798,153253,161482,161942,161616,165379,155429
합계,52세,남자,주민등록인구(내국인 각세별/구별),,73097,73690,79214,80062,79849,82144,77170
합계,52세,여자,주민등록인구(내국인 각세별/구별),,69701,79563,82268,81880,81767,83235,78259
합계,53세,합계,주민등록인구(내국인 각세별/구별),,151714,140798,150915,157807,158987,159648,163270
합계,53세,남자,주민등록인구(내국인 각세별/구별),,74262,71947,72427,77404,78502,78766,80998
합계,53세,여자,주민등록인구(내국인 각세별/구별),,77452,68851,78488,80403,80485,80882,82272
합계,54세,합계,주민등록인구(내국인 각세별/구별),,151001,149743,138608,147468,154862,157049,157640
합계,54세,남자,주민등록인구(내국인 각세별/구별),,74372,73166,70700,70724,75813,77497,77675
합계,54세,여자,주민등록인구(내국인 각세별/구별),,76629,76577,67908,76744,79049,79552,79965
합계,55세,합계,주민등록인구(내국인 각세별/구별),,144221,148790,147255,135282,144507,152744,154869
합계,55세,남자,주민등록인구(내국인 각세별/구별),,71400,73078,71805,68988,69109,74674,76418
합계,55세,여자,주민등록인구(내국인 각세별/구별),,72821,75712,75450,66294,75398,78070,78451
합계,56세,합계,주민등록인구(내국인 각세별/구별),,155417,142141,146459,143718,132474,142296,150401
합계,56세,남자,주민등록인구(내국인 각세별/구별),,76889,70278,71821,69882,67394,67968,73415
합계,56세,여자,주민등록인구(내국인 각세별/구별),,78528,71863,74638,73836,65080,74328,76986
합계,57세,합계,주민등록인구(내국인 각세별/구별),,159935,153039,139819,142986,140811,130464,140204
합계,57세,남자,주민등록인구(내국인 각세별/구별),,77078,75544,69034,69995,68306,66172,66900
합계,57세,여자,주민등록인구(내국인 각세별/구별),,82857,77495,70785,72991,72505,64292,73304
